trigger_name,table_name,definition
RI_ConstraintTrigger_c_17480,ravitaillement_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17480"" AFTER INSERT ON public.ravitaillement_items FROM ravitaillements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17481,ravitaillement_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17481"" AFTER UPDATE ON public.ravitaillement_items FROM ravitaillements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17483,produits,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17483"" AFTER DELETE ON public.produits FROM ravitaillement_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17484,produits,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17484"" AFTER UPDATE ON public.produits FROM ravitaillement_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17485,ravitaillement_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17485"" AFTER INSERT ON public.ravitaillement_items FROM produits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17486,ravitaillement_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17486"" AFTER UPDATE ON public.ravitaillement_items FROM produits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17503,produits,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17503"" AFTER DELETE ON public.produits FROM mouvements_stock NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17504,produits,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17504"" AFTER UPDATE ON public.produits FROM mouvements_stock NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17505,mouvements_stock,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17505"" AFTER INSERT ON public.mouvements_stock FROM produits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17333,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17333"" AFTER INSERT ON public.profiles FROM auth.users NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17334,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17334"" AFTER UPDATE ON public.profiles FROM auth.users NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17364,produits,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17364"" AFTER DELETE ON public.produits FROM stock NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_17365,produits,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17365"" AFTER UPDATE ON public.produits FROM stock NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17366,stock,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17366"" AFTER INSERT ON public.stock FROM produits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17367,stock,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17367"" AFTER UPDATE ON public.stock FROM produits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
on_product_created,produits,CREATE TRIGGER on_product_created AFTER INSERT ON public.produits FOR EACH ROW EXECUTE FUNCTION create_stock_for_product()
RI_ConstraintTrigger_a_17406,tables,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17406"" AFTER DELETE ON public.tables FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17407,tables,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17407"" AFTER UPDATE ON public.tables FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17408,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17408"" AFTER INSERT ON public.commandes FROM tables NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17409,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17409"" AFTER UPDATE ON public.commandes FROM tables NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17411,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17411"" AFTER DELETE ON public.profiles FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17412,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17412"" AFTER UPDATE ON public.profiles FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17413,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17413"" AFTER INSERT ON public.commandes FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17414,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17414"" AFTER UPDATE ON public.commandes FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17416,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17416"" AFTER DELETE ON public.profiles FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17417,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17417"" AFTER UPDATE ON public.profiles FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17418,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17418"" AFTER INSERT ON public.commandes FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17419,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17419"" AFTER UPDATE ON public.commandes FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17435,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17435"" AFTER DELETE ON public.commandes FROM commande_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_17436,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17436"" AFTER UPDATE ON public.commandes FROM commande_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17437,commande_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17437"" AFTER INSERT ON public.commande_items FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17438,commande_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17438"" AFTER UPDATE ON public.commande_items FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17440,produits,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17440"" AFTER DELETE ON public.produits FROM commande_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17441,produits,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17441"" AFTER UPDATE ON public.produits FROM commande_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17442,commande_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17442"" AFTER INSERT ON public.commande_items FROM produits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17443,commande_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17443"" AFTER UPDATE ON public.commande_items FROM produits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17460,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17460"" AFTER DELETE ON public.profiles FROM ravitaillements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17461,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17461"" AFTER UPDATE ON public.profiles FROM ravitaillements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17462,ravitaillements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17462"" AFTER INSERT ON public.ravitaillements FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17463,ravitaillements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17463"" AFTER UPDATE ON public.ravitaillements FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17478,ravitaillements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17478"" AFTER DELETE ON public.ravitaillements FROM ravitaillement_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_17479,ravitaillements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17479"" AFTER UPDATE ON public.ravitaillements FROM ravitaillement_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17506,mouvements_stock,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17506"" AFTER UPDATE ON public.mouvements_stock FROM produits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17508,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17508"" AFTER DELETE ON public.profiles FROM mouvements_stock NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17509,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17509"" AFTER UPDATE ON public.profiles FROM mouvements_stock NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17510,mouvements_stock,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17510"" AFTER INSERT ON public.mouvements_stock FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17511,mouvements_stock,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17511"" AFTER UPDATE ON public.mouvements_stock FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17533,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17533"" AFTER DELETE ON public.commandes FROM factures NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_17534,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17534"" AFTER UPDATE ON public.commandes FROM factures NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17535,factures,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17535"" AFTER INSERT ON public.factures FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17536,factures,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17536"" AFTER UPDATE ON public.factures FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17552,factures,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17552"" AFTER DELETE ON public.factures FROM encaissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_17553,factures,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17553"" AFTER UPDATE ON public.factures FROM encaissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17554,encaissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17554"" AFTER INSERT ON public.encaissements FROM factures NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17555,encaissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17555"" AFTER UPDATE ON public.encaissements FROM factures NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17557,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17557"" AFTER DELETE ON public.profiles FROM encaissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17558,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17558"" AFTER UPDATE ON public.profiles FROM encaissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17559,encaissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17559"" AFTER INSERT ON public.encaissements FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17560,encaissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17560"" AFTER UPDATE ON public.encaissements FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17574,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17574"" AFTER DELETE ON public.profiles FROM audit_logs NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
